level1,neighbors
A6737-24-006,"A6737-24-011,A6737-25-010,A6737-25-009,A6737-26-004,A6737-26-005,"
A6737-24-004,"A6737-23-001,A6737-23-005,A6737-23-010,A6737-25-010,A6737-25-007,A6737-24-003,A6737-25-004,A6737-26-004,"
A6737-24-005,"A6737-26-002,A6737-27-001,A6737-24-009,"
A6737-24-002,"A6737-22-007,A6737-25-002,A6737-23-008,A6737-20-010,A6737-18-013,A6737-22-009,A6733-02-001,A6737-20-009,"
A6737-24-003,"A6737-23-001,A6737-25-003,A6737-24-004,A6737-23-011,"
A6737-24-001,"A6737-23-003,A6737-23-002,A6737-23-006,A6737-18-013,A6737-22-008,A6737-22-003,"
A6734-12-004,"A6734-14-004,A6734-06-010,A6734-15-001,A6734-06-009,A6734-12-005,A6734-12-001,A6734-08-004,A6734-13-004,A6734-09-007,"
A6734-12-005,"A6734-15-001,A6734-11-001,A6734-17-007,A6734-19-001,A6734-05-009,A6734-12-004,A6734-16-002,A6734-17-001,A6734-18-004,A6734-05-010,A6734-18-006,A6734-08-006,A6734-13-004,A6734-09-006,"
A6734-12-006,"A6734-14-007,A6734-06-010,A6734-14-003,A6734-11-002,A6734-18-005,A6734-06-011,A6734-11-003,A6734-13-005,A6734-13-004,A6734-07-010,"
A6734-12-007,"A6734-11-005,A6734-14-005,A6734-19-001,A6734-09-008,A6734-16-004,A6734-17-003,A6734-08-004,A6734-08-007,A6734-13-002,A6734-09-005,A6734-13-006,"
A6701-22-001,"A6701-21-007,A6701-21-010,A6701-21-012,A6701-22-002,A6701-20-004,"
A6734-12-001,"A6734-15-001,A6734-06-010,A6734-07-010,A6734-14-001,A6734-12-004,A6734-16-002,A6734-05-007,A6734-05-010,A6734-08-005,A6734-08-004,A6734-04-010,A6734-09-007,"
A6734-12-002,"A6734-09-003,A6734-14-002,A6734-02-008,A6734-16-005,A6734-08-004,A6734-13-002,"
A6734-12-003,"A6734-09-008,A6734-13-003,A6734-04-010,A6734-09-007,"
A6736-18-008,"A6736-19-004,A6736-19-006,A6736-18-007,"
A6727-12-007,"A6727-15-008,A6727-10-010,A6727-15-003,A6727-11-005,A6727-12-008,A6727-14-007,A6727-17-008,"
A6734-12-008,"A6734-14-004,A6734-14-002,A6734-17-003,A6734-16-006,A6734-08-007,"
A6734-12-009,"A6734-11-007,A6734-11-006,A6734-11-004,A6734-20-010,A6734-23-001,A6734-14-009,A6734-16-004,A6734-16-006,A6734-12-010,A6734-20-006,A6734-20-003,A6734-13-010,"
A6733-31-004,"A6733-31-005,A6733-31-007,A6733-31-002,A6733-31-003,"
A6733-31-005,"A6733-16-011,A6733-31-004,A6733-31-007,A6733-31-003,"
A6733-31-007,"A6733-31-004,A6733-31-005,A6733-16-011,"
A6707-13-007,
A6733-31-001,"A6733-31-002,A6733-31-003,"
A6733-31-002,"A6733-31-004,A6733-28-010,A6733-31-001,A6733-31-003,"
A6733-31-003,"A6733-31-004,A6733-31-005,A6733-31-001,A6733-31-002,A6733-16-011,"
A6720-03-002,"A6720-03-005,"
A6735-49-010,"A6735-49-007,A6735-53-009,A6735-44-008,A6735-49-009,A6735-49-008,"
A6733-31-009,"A6733-31-013,A6733-31-011,A6733-31-010,A6733-30-006,A6733-32-002,A6733-32-001,"
A6727-04-005,"A6727-04-009,A6727-04-008,A6727-04-003,"
A6731-26-001,"A6731-28-004,A6731-30-002,A6731-25-008,A6731-20-007,A6731-25-002,A6731-14-009,A6731-25-011,A6731-34-001,A6731-27-005,A6731-27-006,A6731-27-003,A6731-41-001,A6731-15-008,A6731-23-002,A6731-23-001,"
A6732-58-007,"A6732-50-010,A6732-60-005,A6732-62-007,A6732-57-002,A6732-59-002,A6732-54-005,A6732-54-007,A6732-61-002,"
A6735-13-009,"A6735-18-002,A6735-13-006,A6735-13-010,"
A6735-12-011,"A6735-25-008,A6735-12-012,"
A6735-12-012,"A6735-25-008,A6735-25-005,A6735-12-011,"
A6711-02-007,
A6735-34-010,"A6735-42-004,A6735-34-006,A6735-42-001,A6735-34-009,"
A6733-13-001,"A6733-13-003,A6733-08-010,A6733-13-005,A6733-13-006,"
A6733-13-002,"A6733-13-004,A6733-13-005,A6733-13-007,"
A6733-13-003,"A6733-13-001,A6733-10-009,A6733-08-011,A6733-13-006,"
A6733-13-004,"A6733-13-002,A6733-13-005,A6733-13-007,"
A6733-13-005,"A6733-13-001,A6733-13-002,A6733-13-004,A6733-13-006,A6733-13-007,A6733-13-009,"
A6733-13-006,"A6733-13-001,A6733-13-003,A6733-13-005,A6733-13-008,A6733-13-009,A6733-10-009,"
A6733-13-007,"A6733-17-004,A6733-13-002,A6733-13-010,A6733-13-004,A6733-13-005,A6733-13-009,A6733-19-001,"
A6733-13-008,"A6733-13-009,A6733-17-006,A6733-13-006,A6733-17-002,A6733-17-001,"
A6733-13-009,"A6733-13-010,A6733-13-006,A6733-17-002,A6733-13-007,A6733-13-008,A6733-17-003,A6733-13-005,"
A6732-54-007,"A6732-54-005,A6732-58-001,A6732-54-008,A6732-58-007,"
