area,week,male,female,delay(avg),young,middle,old,total,neighbor-total,result_label
A6734-41,36,8,4,2.5,1,6,5,12,165,x
A6734-41,37,8,9,3.411764705882353,2,9,6,17,187,x
A6734-41,38,12,17,2.8275862068965516,0,10,18,29,200,x
A6734-41,39,12,9,2.380952380952381,0,14,7,21,210,x
A6734-41,40,8,6,2.7857142857142856,3,4,7,14,125,x
A6734-41,41,4,5,5.111111111111111,1,6,2,9,71,x
A6734-41,42,3,6,3.888888888888889,2,5,2,9,51,x
A6734-41,43,1,1,2.0,1,1,0,2,28,x
A6734-41,44,1,0,2.0,0,1,0,1,11,x
A6734-41,45,1,1,1.5,0,1,1,2,9,x
A6734-41,46,1,0,1.0,0,0,1,1,4,x
A6734-41,48,1,0,6.0,0,0,1,1,2,x
A6714-08,35,0,1,2.0,0,1,0,1,1,x
A6714-09,38,1,1,2.5,1,1,0,2,0,x
A6714-09,39,0,1,6.0,0,1,0,1,1,x
A6719-10,33,0,1,6.0,0,0,1,1,8,x
A6719-10,35,1,0,1.0,0,0,0,1,2,x
A6719-10,36,1,0,2.0,0,1,0,1,6,x
A6719-10,37,0,2,4.0,1,1,0,2,7,x
A6719-10,39,2,0,5.0,0,1,1,2,2,x
A6719-10,40,0,1,1.0,0,1,0,1,1,x
A6719-10,43,2,0,1.5,0,2,0,2,2,x
A6719-10,31,0,1,5.0,0,0,1,1,0,x
A6719-11,45,1,0,0.0,0,0,1,1,0,x
A6719-11,37,0,1,5.0,0,1,0,1,2,x
A6719-11,39,1,0,1.0,1,0,0,1,5,x
A6719-12,32,1,1,6.5,0,1,1,2,0,x
A6719-12,33,3,4,2.857142857142857,1,1,5,7,6,x
A6719-12,34,1,2,8.666666666666666,0,0,3,3,2,x
A6719-12,35,1,1,2.0,1,0,1,2,3,x
A6719-12,36,1,3,2.75,1,0,3,4,2,x
A6719-12,37,2,2,5.25,0,1,3,4,6,x
A6719-12,38,1,1,4.5,0,1,1,2,1,x
A6719-12,40,1,0,0.0,0,1,0,1,1,x
A6719-12,27,0,1,4.0,0,0,1,1,0,x
A6719-13,37,0,1,2.0,0,1,0,1,6,x
A6714-04,35,0,1,4.0,0,0,1,1,2,x
A6714-04,36,0,1,1.0,0,1,0,1,1,x
